source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,EL,ES,FR,IE,IT,CY,CY (tcc),LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,HR,TR,MK
special_eb_300_volume_A.xls,most_serious_problem,A major global economic downturn,0.04,0.05,0.07,0.05,0.04,0.04,0.04,0.05,0.07,0.07,0.02,0.03,0.11,0.05,0.02,0.05,0.06,0.14,0.02,0.07,0.02,0.02,0.08,0.03,0.07,0.08,0.03,0.04,0.03,0.01,0.04,0.05,0.03,0.07
special_eb_300_volume_A.xls,most_serious_problem,La prolifération d’armes nucléaires,399.0,7.0,18.0,36.0,14.0,13.0,20.0,7.0,9.0,25.0,11.0,19.0,24.0,18.0,12.0,6.0,9.0,22.0,4.0,17.0,5.0,8.0,20.0,21.0,7.0,16.0,13.0,17.0,25.0,16.0,10.0,11.0,23.0,24.0
special_eb_300_volume_A.xls,most_serious_problem,The proliferation of nuclear weapons,0.03,0.01,0.04,0.07,0.03,0.03,0.03,0.03,0.02,0.05,0.02,0.04,0.05,0.04,0.05,0.02,0.02,0.04,0.02,0.04,0.02,0.02,0.04,0.04,0.01,0.03,0.03,0.03,0.05,0.03,0.02,0.02,0.04,0.05
special_eb_300_volume_A.xls,most_serious_problem,Des conflits armés,826.0,14.0,48.0,42.0,23.0,31.0,43.0,10.0,55.0,14.0,53.0,25.0,19.0,20.0,8.0,13.0,48.0,49.0,10.0,27.0,11.0,38.0,38.0,58.0,29.0,34.0,11.0,62.0,19.0,28.0,25.0,44.0,34.0,35.0
special_eb_300_volume_A.xls,most_serious_problem,Armed conflicts,0.06,0.03,0.09,0.09,0.05,0.06,0.06,0.04,0.11,0.03,0.09,0.05,0.04,0.04,0.03,0.05,0.09,0.1,0.04,0.05,0.04,0.08,0.08,0.11,0.06,0.07,0.02,0.11,0.04,0.06,0.04,0.09,0.07,0.07
special_eb_300_volume_A.xls,most_serious_problem,L’augmentation de la population mondiale,578.0,20.0,5.0,10.0,19.0,41.0,59.0,17.0,29.0,3.0,8.0,20.0,22.0,7.0,3.0,3.0,12.0,11.0,18.0,26.0,4.0,46.0,11.0,9.0,4.0,10.0,12.0,25.0,39.0,50.0,54.0,1.0,9.0,1.0
special_eb_300_volume_A.xls,most_serious_problem,The increasing world population,0.04,0.04,0.01,0.02,0.04,0.08,0.08,0.07,0.06,0.01,0.02,0.04,0.05,0.01,0.01,0.01,0.02,0.02,0.07,0.05,0.02,0.09,0.02,0.02,0.01,0.02,0.02,0.04,0.08,0.1,0.08,- ,0.02,-
special_eb_300_volume_A.xls,most_serious_problem,Autre (SPONTANE - SPECIFIER),22.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
special_eb_300_volume_A.xls,most_serious_problem,Other (SPONTANEOUS - SPECIFY),- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
special_eb_300_volume_A.xls,most_serious_problem,NSP,367.0,4.0,25.0,9.0,10.0,3.0,5.0,1.0,18.0,1.0,21.0,5.0,32.0,17.0,2.0,3.0,14.0,26.0,1.0,10.0,4.0,2.0,12.0,23.0,24.0,39.0,4.0,5.0,1.0,3.0,29.0,10.0,25.0,5.0
special_eb_300_volume_A.xls,most_serious_problem,DK,0.03,0.01,0.05,0.02,0.02,0.01,0.01,- ,0.03,- ,0.04,0.01,0.07,0.03,0.01,0.01,0.03,0.05,- ,0.02,0.02,- ,0.02,0.05,0.05,0.08,0.01,0.01,- ,0.01,0.04,0.02,0.05,0.01
