source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_322_volume_A.xls,most_serious_problem,A major global economic downturn,0.14,0.12,0.38,0.39,0.12,0.15,0.16,0.18,0.26,0.21,0.23,0.1,0.07,0.11,0.21,0.39,0.44,0.06,0.18,0.18,0.1,0.1,0.09,0.1,0.26,0.18,0.24,0.1,0.04,0.16
special_eb_322_volume_A.xls,most_serious_problem,La prolifération d’armes nucléaires,623.0,32.0,23.0,26.0,24.0,26.0,38.0,12.0,19.0,20.0,18.0,14.0,33.0,42.0,9.0,7.0,28.0,14.0,12.0,11.0,23.0,38.0,24.0,15.0,7.0,25.0,7.0,48.0,27.0,14.0
special_eb_322_volume_A.xls,most_serious_problem,The proliferation of nuclear weapons,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.04,0.02,0.01,0.03,0.03,0.01,0.02,0.02,0.04,0.02,0.01,0.01,0.02,0.01,0.05,0.03,0.01
special_eb_322_volume_A.xls,most_serious_problem,Des conflits armés,1409.0,53.0,28.0,40.0,60.0,46.0,72.0,27.0,81.0,21.0,5.0,78.0,31.0,43.0,23.0,66.0,37.0,16.0,24.0,8.0,78.0,51.0,114.0,63.0,22.0,25.0,64.0,44.0,38.0,86.0
special_eb_322_volume_A.xls,most_serious_problem,Armed conflicts,0.05,0.05,0.03,0.04,0.06,0.05,0.05,0.05,0.08,0.02,- ,0.08,0.03,0.04,0.05,0.07,0.04,0.03,0.02,0.02,0.08,0.05,0.11,0.06,0.02,0.02,0.06,0.04,0.04,0.06
special_eb_322_volume_A.xls,most_serious_problem,L’augmentation de la population mondiale,1718.0,87.0,12.0,18.0,81.0,111.0,159.0,43.0,82.0,74.0,20.0,33.0,53.0,31.0,16.0,32.0,34.0,51.0,52.0,22.0,182.0,99.0,13.0,14.0,8.0,30.0,29.0,106.0,138.0,163.0
special_eb_322_volume_A.xls,most_serious_problem,The increasing world population,0.07,0.09,0.01,0.02,0.08,0.11,0.1,0.09,0.08,0.07,0.02,0.03,0.05,0.03,0.03,0.03,0.03,0.1,0.05,0.05,0.18,0.1,0.01,0.01,0.01,0.03,0.03,0.11,0.14,0.12
special_eb_322_volume_A.xls,most_serious_problem,Autre (SPONTANE) ,161.0,6.0,1.0,0.0,2.0,1.0,2.0,0.0,13.0,4.0,11.0,7.0,1.0,15.0,8.0,13.0,6.0,0.0,2.0,7.0,15.0,13.0,1.0,25.0,9.0,7.0,9.0,6.0,1.0,9.0
special_eb_322_volume_A.xls,most_serious_problem,Other (SPONTANEOUS) ,0.01,0.01,- ,- ,- ,- ,- ,- ,0.01,0.01,0.01,0.01,- ,0.02,0.02,0.01,- ,- ,- ,0.01,0.02,0.01,- ,0.02,0.01,0.01,0.01,0.01,- ,0.01
special_eb_322_volume_A.xls,most_serious_problem,Aucun (SPONTANE),155.0,4.0,1.0,3.0,1.0,5.0,7.0,2.0,7.0,2.0,2.0,1.0,2.0,13.0,0.0,3.0,6.0,1.0,1.0,2.0,2.0,12.0,5.0,6.0,3.0,4.0,1.0,2.0,0.0,20.0
special_eb_322_volume_A.xls,most_serious_problem,None (SPONTANEOUS),0.01,- ,- ,- ,- ,- ,- ,0.01,0.01,- ,- ,- ,- ,0.01,- ,- ,0.01,- ,- ,- ,- ,0.01,0.01,0.01,- ,- ,- ,- ,- ,0.02
special_eb_322_volume_A.xls,most_serious_problem,NSP,649.0,3.0,35.0,6.0,12.0,15.0,25.0,13.0,29.0,54.0,0.0,11.0,12.0,37.0,0.0,37.0,49.0,5.0,5.0,11.0,3.0,17.0,61.0,48.0,75.0,6.0,3.0,4.0,5.0,33.0
special_eb_322_volume_A.xls,most_serious_problem,DK,0.02,- ,0.04,0.01,0.01,0.01,0.02,0.02,0.03,0.05,- ,0.01,0.01,0.04,- ,0.04,0.05,0.01,0.01,0.02,- ,0.02,0.06,0.05,0.07,0.01,- ,- ,- ,0.02
